Day,Date,Number,Price,Revenue
0,2021-01-01,6.823,44.9,306.3531
1,2021-01-02,5.2025,44.33,230.6245
2,2021-01-03,7.2805,45.06,328.0668
3,2021-01-04,3.1235,43.6,136.1795
4,2021-01-05,1.1527,42.91,49.4567
5,2021-01-06,5.3009,44.36,235.1726
6,2021-01-07,2.9591,43.54,128.8418
7,2021-01-08,4.5945,44.12,202.6898
8,2021-01-09,8.1983,45.38,372.0659
9,2021-01-10,1.8389,43.15,79.3442
10,2021-01-11,1.3956,42.99,59.9993
11,2021-01-12,6.5739,44.81,294.5911
12,2021-01-13,2.6037,43.42,113.0396
13,2021-01-14,5.5486,44.45,246.6454
14,2021-01-15,5.3296,44.37,236.4971
15,2021-01-16,7.662,45.19,346.2811
16,2021-01-17,8.0571,45.33,365.2572
17,2021-01-18,2.2013,43.27,95.2594
18,2021-01-19,4.9374,44.24,218.4147
19,2021-01-20,4.3843,44.04,193.0918
20,2021-01-21,3.8519,43.85,168.9252
21,2021-01-22,4.6437,44.13,204.9396
22,2021-01-23,4.8709,44.21,215.3587
23,2021-01-24,3.6396,43.78,159.3425
24,2021-01-25,7.5209,45.15,339.5337
25,2021-01-26,4.2273,43.99,185.9472
26,2021-01-27,1.3977,42.99,60.0875
27,2021-01-28,1.1887,42.92,51.0163
28,2021-01-29,5.9698,44.6,266.2499
29,2021-01-30,5.2497,44.35,232.8077
30,2021-01-31,6.261,44.7,279.881
31,2021-02-01,7.1124,45.0,320.0692
32,2021-02-02,2.4686,43.37,107.0571
33,2021-02-03,1.5527,43.05,66.8392
34,2021-02-04,7.3881,45.1,333.1916
35,2021-02-05,3.8671,43.86,169.6105
36,2021-02-06,6.5727,44.81,294.536
37,2021-02-07,9.8498,45.96,452.7396
38,2021-02-08,4.9749,44.25,220.1383
39,2021-02-09,4.227,43.99,185.9315
40,2021-02-10,4.142,43.96,182.071
41,2021-02-11,4.2259,43.99,185.8797
42,2021-02-12,6.41,44.75,286.8778
43,2021-02-13,3.3388,43.67,145.8176
44,2021-02-14,7.0379,44.98,316.5343
45,2021-02-15,5.1035,44.3,226.0601
46,2021-02-16,5.7823,44.53,257.5074
47,2021-02-17,5.8634,44.56,261.2843
48,2021-02-18,6.672,44.85,299.2186
49,2021-02-19,9.5163,45.85,436.2972
50,2021-02-20,7.4691,45.13,337.0562
51,2021-02-21,9.0988,45.7,415.8163
52,2021-02-22,10.2471,46.1,472.4347
53,2021-02-23,3.5889,43.76,157.057
54,2021-02-24,3.5652,43.75,155.9938
55,2021-02-25,6.7583,44.88,303.2948
56,2021-02-26,6.2603,44.7,279.8482
57,2021-02-27,9.4642,45.83,433.7323
58,2021-02-28,5.5639,44.46,247.3536
59,2021-03-01,7.7155,45.21,348.8448
60,2021-03-02,6.7241,44.87,301.6749
61,2021-03-03,5.9475,44.59,265.209
62,2021-03-04,4.2336,43.99,186.2298
63,2021-03-05,7.5719,45.16,341.972
64,2021-03-06,3.2433,43.64,141.5388
65,2021-03-07,7.1596,45.02,322.314
66,2021-03-08,4.1155,43.95,180.8655
67,2021-03-09,6.1096,44.65,272.7854
68,2021-03-10,3.1932,43.62,139.2995
69,2021-03-11,6.1964,44.68,276.8507
70,2021-03-12,6.7031,44.86,300.6853
71,2021-03-13,10.1864,46.08,469.417
72,2021-03-14,6.915,44.93,310.7052
73,2021-03-15,3.3467,43.68,146.1749
74,2021-03-16,4.182,43.97,183.8869
75,2021-03-17,2.9842,43.55,129.9623
76,2021-03-18,6.9797,44.95,313.7722
77,2021-03-19,9.098,45.7,415.776
78,2021-03-20,7.3546,45.09,331.5934
79,2021-03-21,6.9037,44.93,310.1694
80,2021-03-22,8.2924,45.42,376.6114
81,2021-03-23,8.1167,45.35,368.1333
82,2021-03-24,5.4598,44.42,242.5285
83,2021-03-25,7.5024,45.14,338.6496
84,2021-03-26,8.9561,45.65,408.8443
85,2021-03-27,9.4353,45.82,432.3124
86,2021-03-28,8.594,45.52,391.224
87,2021-03-29,8.6372,45.54,393.3192
88,2021-03-30,4.8958,44.22,216.5036
89,2021-03-31,10.0484,46.03,462.5698
90,2021-04-01,6.7029,44.86,300.6758
91,2021-04-02,11.6858,46.61,544.6748
92,2021-04-03,8.0592,45.33,365.3591
93,2021-04-04,10.3654,46.15,478.3181
94,2021-04-05,5.763,44.53,256.6108
95,2021-04-06,4.4512,44.07,196.1444
96,2021-04-07,7.477,45.13,337.4357
97,2021-04-08,9.5637,45.86,438.6274
98,2021-04-09,10.4042,46.16,480.2521
99,2021-04-10,9.9444,46.0,457.4194
100,2021-04-11,8.5498,45.51,389.076
101,2021-04-12,6.5169,44.79,291.9057
102,2021-04-13,4.6368,44.13,204.6264
103,2021-04-14,6.7929,44.89,304.9284
104,2021-04-15,4.3603,44.03,192.0017
105,2021-04-16,4.8646,44.21,215.069
106,2021-04-17,7.785,45.24,352.1814
107,2021-04-18,9.0672,45.69,414.2715
108,2021-04-19,5.0394,44.27,223.1045
109,2021-04-20,7.0152,44.97,315.456
110,2021-04-21,9.7225,45.92,446.4526
111,2021-04-22,9.5044,45.84,435.7075
112,2021-04-23,7.0396,44.98,316.6146
113,2021-04-24,10.3987,46.16,479.9765
114,2021-04-25,6.6189,44.83,296.7143
115,2021-04-26,7.6916,45.21,347.703
116,2021-04-27,11.2716,46.46,523.7308
117,2021-04-28,7.614,45.18,343.9837
118,2021-04-29,7.9889,45.31,361.9766
119,2021-04-30,8.7665,45.58,399.6089
120,2021-05-01,9.3084,45.77,426.0822
121,2021-05-02,10.8877,46.33,504.42
122,2021-05-03,10.0913,46.05,464.6987
123,2021-05-04,7.9686,45.3,361.0014
124,2021-05-05,3.4949,43.73,152.8273
125,2021-05-06,6.7612,44.88,303.431
126,2021-05-07,8.2807,45.41,376.0455
127,2021-05-08,12.9409,47.05,608.8884
128,2021-05-09,10.7373,46.28,496.885
129,2021-05-10,8.6217,45.53,392.5683
130,2021-05-11,5.6723,44.5,252.3887
131,2021-05-12,5.6339,44.48,250.6045
132,2021-05-13,10.9554,46.35,507.8193
133,2021-05-14,9.9707,46.01,458.7216
134,2021-05-15,11.9173,46.69,556.4387
135,2021-05-16,10.9208,46.34,506.0823
136,2021-05-17,5.4591,44.42,242.4944
137,2021-05-18,7.442,45.12,335.767
138,2021-05-19,7.0128,44.97,315.3398
139,2021-05-20,8.627,45.53,392.8225
140,2021-05-21,11.5123,46.55,535.8864
141,2021-05-22,10.6634,46.25,493.1879
142,2021-05-23,7.409,45.11,334.1882
143,2021-05-24,9.4052,45.81,430.836
144,2021-05-25,9.1571,45.72,418.6694
145,2021-05-26,7.9097,45.28,358.1667
146,2021-05-27,5.6678,44.49,252.1809
147,2021-05-28,12.1597,46.78,568.7939
